Course Name,Average GPA
ADV588,3.6136
AE100,3.7325042396834367
AE140,3.4608720930232555
AE199,3.5716150943396228
AE201,3.313571428571429
AE202,3.3857087126137833
AE252,2.737111111111111
AE302,3.438646616541354
AE311,3.0456161745827983
AE312,2.9256469708302166
AE321,2.58421497584541
AE322,2.4102409638554216
AE323,2.7837939297124596
AE352,3.217256874580818
AE353,3.1996151202749146
AE360,3.4135999999999997
AE370,3.1980590339892667
AE402,3.3096505376344085
AE403,3.4851948051948054
AE410,3.408144927536231
AE412,3.4960481099656353
AE416,3.1195024875621895
AE419,3.18156862745098
AE433,3.2022985957132297
AE434,3.1118156424581005
AE435,3.070909090909091
AE440,3.7704444444444447
AE441,3.6816239316239314
AE442,3.2023188405797103
AE443,3.5624459078080903
AE451,3.569818181818182
AE454,3.6394117647058826
